SampleID,NbrMethylatedCpG_global_BSBolt,Total_reads,Mapped_read,Total_reads_minusSexAndUnknownChr,Mapped_reads_minusSexAndUnknownChr,Mapped_read_sexchr,Mapped_reads_unknownchr,mappabilityTotal,mappabilityNoSexUn,mappabilitySexChr,mappabilityUnChr,percent_duplicates_rawReads,percent_GC_rawReads,M.Seqs_rawReads,percent_duplicates_trimmedReads,percent_gc_trimmedReads,avg_sequence_length_trimmedReads,percent_fails_trimmedReads,total_sequences_trimmedReads,FamilyOfFather,clutch.ID,fatherID,matchV48,HK.W,No.Worms,Wnettofin,Slfin,ID,Family,Generat,Tr,Sex,MReads,Mapping,trtG1G2,outcome,Tlfin,Cfresfin,BC,BCgen,SPL.W,L.W,GON.W,BK.W,integration.RLU.,peak.RLU.sec.,Tpeak.min.,G.L_ratio,trtG1G2_NUM,PAT,brotherPairID
S25,28395681,11690428,9567175,10278526,8155273,306314,1105588,81.8376795101086,79.342826004429,2.62021202303286,9.45720721260163,77.8%,35%,11.8,77.2277427860897,34,94.5887124064234,27.2727272727273,11690428,Fam6,E_04,S36,V48_256,2.6,2,832,41,S25,Fam06,O,TT,M,11.7,65.8,E_exposed,infected,47,93.953,-0.07584,-0.45509,0.9,16.6,7.7,13.9,885283.9,144,80.11,0.75,3,Exposed father group,BP04
S26,24075767,11037208,8896585,9654965,7514342,279885,1102358,80.6053940453057,77.8287855005171,2.53583152550899,9.98765267448072,73.1%,33%,11.2,72.6111654820253,32,95.4427808192072,18.1818181818182,11037208,Fam6,E_04,S36,V48_363,4.4,9,592,38,S26,Fam06,O,TT,M,11.1,63.2,E_exposed,infected,42,-6.988,0.79161,0.74568,0.4,12.9,4,3.8,1661786.1,287,90.11,0.92,3,Exposed father group,BP04
S27,27575770,11376217,9770931,10171224,8565938,319249,885744,85.8891053150621,84.2173763944241,2.80628437379491,7.78592743088498,76.4%,32%,11.4,76.0863705825337,32,95.8615123111664,18.1818181818182,11376217,Fam6,NE_04,S35,V48_021,4.6,0,824,41,S27,Fam06,O,CC,M,11.4,68.4,NE_control,control,46,85.953,0.05307,-0.31507,0.9,27,4.7,12.8,1661739,329,55.11,3.61,5,Control father group,BP04
S28,33469928,12768680,11360896,11344486,9936702,501087,923107,88.9747099935154,87.5905880619007,3.92434456811511,7.22946302985117,77.8%,32%,12.8,77.5652557429955,32,96.3483083607703,18.1818181818182,12768680,Fam6,NE_04,S35,V48_082,3.5,0,526,36,S28,Fam06,O,CC,F,12.8,72.3,NE_control,control,42,19.718,-0.14484,-0.09911,0.8,18.6,6.5,1.2,4107881.3,717,85.11,0.94,5,Control father group,BP04
S29,23837179,9405795,8099354,8277603,6971162,351229,776963,86.1102543697795,84.2171580347596,3.73417664322899,8.26047133708528,72.4%,33%,9.6,71.7872644750961,33,95.840557443576,18.1818181818182,9405795,Fam6,NE_04,S35,V48_116,6,0,771,41,S29,Fam06,O,CC,F,9.5,70.2,NE_control,control,47,32.953,0.90714,0.6126,1.3,30.8,19.6,3.2,3410217.6,607,80.11,1.05,5,Control father group,BP04
S30,26772465,10824988,9119847,9468738,7763597,393261,962989,84.2481026306911,81.9918874088606,3.63290010113637,8.89598214797097,74.7%,33%,10.9,74.3470610950455,33,96.0713573077402,18.1818181818182,10824988,Fam6,NE_04,S35,V48_281,4.9,0,776,40,S30,Fam06,O,CC,F,10.9,67,NE_control,control,45,84.306,-0.17344,-0.47491,0.9,30.6,13.8,3.5,1260135.3,207,80.11,0.46,5,Control father group,BP04
S31,16229351,6257189,5367860,5526024,4636695,234218,496947,85.787084264196,83.906530264798,3.74318244182811,7.94201677462515,86.0%,38%,13.2,70.0752687335928,33,95.8046806641129,18.1818181818182,6257189,Fam6,NE_04,S35,V48_115,2.6,2,509,37,S31,Fam06,O,CT,F,6.6,67.3,NE_exposed,infected,43,-43.635,1.1291,1.19844,0.4,18.3,7.6,1.4,1346311.4,209,95.11,1.37,6,Control father group,BP04
S32,21913844,8502453,7288734,7548805,6335086,239713,713935,85.7250725173077,83.9217068131976,2.81933931301943,8.39681207293942,74.8%,35%,8.6,74.2087087430906,34,94.394981071933,18.1818181818182,8502453,Fam6,NE_04,S35,V48_160,2,2,445,36,S32,Fam06,O,CT,M,8.5,67.4,NE_exposed,infected,42,-61.282,1.16042,1.31865,0.4,7.6,1.4,1.5,1633256.5,250,95.11,0.53,6,Control father group,BP04
S33,26489293,10470071,9191189,9362702,8083820,305721,801648,87.7853550372295,86.3406738781177,2.9199515456963,7.65656698985136,74.4%,34%,10.6,73.7886674490427,33,94.2799984832959,18.1818181818182,10470071,Fam6,NE_04,S35,V48_241,2.3,2,515,37,S33,Fam06,O,CT,M,10.5,71.2,NE_exposed,infected,42,-37.635,1.03242,1.09342,0.5,10.5,0.4,1.9,360823.7,46,125.11,0.92,6,Control father group,BP04
S34,22238948,9549069,8188190,8368397,7007518,360451,820221,85.748568787177,83.7378771585526,3.77472400712572,8.58953893829859,74.6%,33%,9.6,74.0335849055945,32,94.7746319562672,18.1818181818182,9549069,Fam6,NE_04,S35,V48_279,2,3,564,39,S34,Fam06,O,CT,F,9.6,70,NE_exposed,infected,45,-81.341,2.24281,2.23577,0.6,12.5,11.5,2.2,1512728.6,237,50.11,0.46,6,Control father group,BP04
